STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,YEAR_RANGE,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Tamil Nadu,Tiruvallur,PMGSY-II,2013-2018,12,0,12,0,0,0,40.435,13.93617,40.435,13.8781,0
Tamil Nadu,Tiruvallur,PMGSY-III,2019-Present,32,0,27,0,5,0,96.01,55.45871,83.805,48.3637,8.22
Tamil Nadu,Tiruvannamalai,PMGSY-II,2013-2018,27,0,27,0,0,0,97.4,33.20386,97.4,31.5563,0
Tamil Nadu,Tiruvarur,PMGSY-II,2013-2018,74,12,74,12,0,0,224.342,197.66552,224.343,212.5394,0
Tamil Nadu,Tuticorin,PMGSY-II,2013-2018,14,0,14,0,0,0,56.3,20.98946,55.93,22.3365,0
Tamil Nadu,Vellore,PMGSY-I,2000-2013,117,0,117,0,0,0,349.742,74.25392,349.683,61.4774,0
Tamil Nadu,Villupuram,PMGSY-I,2000-2013,322,3,322,3,0,0,663.065,186.3543,652.911,178.5364,0
Tamil Nadu,Virudhunagar,PMGSY-I,2000-2013,204,1,204,1,0,0,435.383,115.97783,432.471,107.1353,0
Telangana,Adilabad,PMGSY-III,2019-Present,7,7,5,4,2,3,60.545,62.04833,44.62,46.6377,15.05
Telangana,Adilabad,PM-JANMAN,2023-Present,15,0,0,0,15,0,43.875,44.28494,0,0,43.875
Telangana,Bhadradri Kothagudem,RCPLWEA,2016-Present,30,38,5,20,25,18,239.41,331.14342,103.89,124.5496,134.77
Telangana,Jagitial,PMGSY-II,2013-2018,3,0,3,0,0,0,22.83,11.44,21.717,10.3955,0
Telangana,Jangoan,PMGSY-II,2013-2018,3,1,3,1,0,0,16.675,9.695,16.69,8.4956,0
Telangana,Jayashankar Bhoopalapally,PMGSY-II,2013-2018,2,0,2,0,0,0,21.95,16.5554,20.345,16.187,0
Telangana,Jogulamba Gadwal,PMGSY-I,2000-2013,25,1,25,1,0,0,151.925,31.8538,146.475,60.6567,0
Telangana,Khammam,PMGSY-II,2013-2018,6,1,6,1,0,0,69.14,49.8709,66.773,35.9228,0
Telangana,Khammam,PMGSY-III,2019-Present,16,7,13,2,3,5,115.803,99.76101,106.807,71.3487,4.654
Telangana,Komrambheem Asifabad,PMGSY-I,2000-2013,157,45,145,41,12,4,779.469,280.28829,696.027,345.2748,63.723
Telangana,Komrambheem Asifabad,PMGSY-III,2019-Present,6,2,4,2,2,0,41.09,25.49702,27.889,9.8604,12.1
Telangana,Mahaboobnagar,PMGSY-I,2000-2013,43,4,43,4,0,0,181.035,42.3286,175.095,71.2372,0
Telangana,Mahabubabad,PMGSY-I,2000-2013,177,6,174,6,3,0,418.395,163.28082,402.179,204.4024,10.56
Telangana,Mahabubabad,RCPLWEA,2016-Present,1,0,0,0,1,0,38.4,37.0495,17.642,19.581,20.758
Telangana,Medak,PMGSY-III,2019-Present,9,0,4,0,5,0,64.266,34.61625,44.721,28.5826,17.888
Telangana,Medchal Malkajgiri,PMGSY-I,2000-2013,15,0,15,0,0,0,24.04,2.5764,24.04,5.6566,0
Telangana,Mulugu,PMGSY-II,2013-2018,2,0,2,0,0,0,12.6,9.5286,12.57,8.3201,0
Telangana,Mulugu,RCPLWEA,2016-Present,52,16,13,5,39,11,259.64,308.80704,120.998,131.2287,137.21
Telangana,Nirmal,PMGSY-II,2013-2018,1,0,1,0,0,0,9.4,2.42,4.71,2.3232,0
Telangana,Nizamabad,PMGSY-III,2019-Present,15,4,10,0,5,4,104.393,66.5664,82.727,50.8882,19.965
Telangana,Ranga Reddy,PMGSY-I,2000-2013,108,22,108,22,0,0,437.925,100.8337,430.273,185.4617,0
Telangana,Siddipet,PMGSY-I,2000-2013,99,6,99,6,0,0,407.205,104.5496,400.715,191.7028,0
Telangana,Suryapet,PMGSY-III,2019-Present,17,2,12,2,5,0,97.085,56.5596,75.199,40.236,20.08
Telangana,Vikarabad,PMGSY-II,2013-2018,3,0,3,0,0,0,27.65,16.1464,27.65,14.4262,0
Telangana,Vikarabad,PMGSY-III,2019-Present,13,2,9,0,4,2,93.085,60.13381,74.413,47.4115,16.598
Telangana,Warangal,PMGSY-II,2013-2018,4,1,4,1,0,0,27.51,16.3862,23.9,13.4793,0
Telangana,Yadadri Bhongiri,PMGSY-II,2013-2018,6,1,6,1,0,0,34,16.2395,31.98,14.415,0
Telangana,Yadadri Bhongiri,PMGSY-III,2019-Present,15,5,10,3,5,2,69.49,60.61963,41.211,36.0773,24.505
Tripura,Gomati,PMGSY-I,2000-2013,186,11,186,11,0,0,796.534,498.7943,765.916,482.446,0
Tripura,North Tripura,PMGSY-I,2000-2013,121,8,111,5,10,3,485.811,323.1304,438.308,277.4315,42.397
Tripura,Sepahijala,PMGSY-I,2000-2013,207,4,207,4,0,0,648.341,388.9445,614.046,404.7569,0
Tripura,Sepahijala,PMGSY-II,2013-2018,4,0,4,0,0,0,24.428,26.37909,24.428,28.9564,0
Tripura,South Tripura,PMGSY-II,2013-2018,6,0,6,0,0,0,60.36,65.09914,59.166,70.5475,0
Tripura,West Tripura,PMGSY-I,2000-2013,168,6,168,6,0,0,465.545,274.9518,443.853,247.0557,0
Tripura,West Tripura,PMGSY-II,2013-2018,8,0,7,0,1,0,57.33,54.70353,53.118,48.1199,4.393
Uttar Pradesh,Agra,PMGSY-II,2013-2018,16,0,16,0,0,0,122.005,101.2449,120.971,79.9269,0
Uttar Pradesh,Aligarh,PMGSY-II,2013-2018,11,0,11,0,0,0,105.85,54.49746,105.85,48.1263,0
Uttar Pradesh,Ambedkarnagar,PMGSY-I,2000-2013,204,0,204,0,0,0,584.768,179.7895,572.209,168.0181,0
Uttar Pradesh,Ambedkarnagar,PMGSY-III,2019-Present,27,0,27,0,0,0,181.33,132.15772,176.733,113.4394,0
Uttar Pradesh,Amethi,PMGSY-I,2000-2013,227,0,227,0,0,0,694.668,223.5321,687.159,215.5701,0
Uttar Pradesh,Auraiya,PMGSY-I,2000-2013,140,0,140,0,0,0,378.67,105.0773,369.13,96.9338,0
Uttar Pradesh,Badaun,PMGSY-II,2013-2018,9,0,9,0,0,0,70.05,35.45431,69.43,29.5615,0
Uttar Pradesh,Badaun,PMGSY-III,2019-Present,22,0,22,0,0,0,143.705,96.9952,141.583,80.4611,0
Uttar Pradesh,Ballia,PMGSY-I,2000-2013,227,0,226,0,1,0,527.491,156.7021,516.362,143.2851,8.7
Uttar Pradesh,Ballia,PMGSY-III,2019-Present,32,0,32,0,0,0,233.075,146.6125,233.045,124.6557,0
Uttar Pradesh,Banda,PMGSY-I,2000-2013,141,0,141,0,0,0,469.34,134.1771,455.706,142.1612,0
Uttar Pradesh,Barabanki,PMGSY-III,2019-Present,57,0,57,0,0,0,431.745,406.3758,425.965,362.9983,0
Uttar Pradesh,Etah,PMGSY-I,2000-2013,274,0,274,0,0,0,718.952,166.1075,714.712,150.8243,0
Uttar Pradesh,Fatehpur,PMGSY-II,2013-2018,11,0,11,0,0,0,101.975,86.3941,101.465,78.3542,0
Uttar Pradesh,Ghaziabad,PMGSY-II,2013-2018,11,0,11,0,0,0,112.855,53.45658,112.005,44.5876,0
Uttar Pradesh,Hamirpur,PMGSY-I,2000-2013,106,0,106,0,0,0,392.265,106.43,380.93,95.8403,0
Uttar Pradesh,Hardoi,PMGSY-III,2019-Present,67,0,67,0,0,0,480.658,350.96026,474.698,317.6092,0
Uttar Pradesh,Jalaun,PMGSY-I,2000-2013,178,0,178,0,0,0,548.53,139.047,533.757,134.3715,0
Uttar Pradesh,Jhansi,PMGSY-I,2000-2013,131,0,131,0,0,0,498.815,156.5845,481.231,141.9012,0
Uttar Pradesh,Jhansi,PMGSY-II,2013-2018,14,0,14,0,0,0,110.42,70.2237,110.24,64.3545,0
Uttar Pradesh,Kannauj,PMGSY-I,2000-2013,216,0,216,0,0,0,523.625,148.1651,513.177,146.1985,0
Uttar Pradesh,Kanpur Dehat,PMGSY-III,2019-Present,33,0,23,0,10,0,238.679,199.11752,167.607,114.8277,61.705
Uttar Pradesh,Mainpuri,PMGSY-III,2019-Present,11,0,11,0,0,0,77.3,42.6268,76.438,31.625,0
Uttar Pradesh,Mau,PMGSY-II,2013-2018,11,0,11,0,0,0,109,55.55237,107.36,54.635,0
Uttar Pradesh,Meerut,PMGSY-I,2000-2013,289,0,289,0,0,0,660.754,147.5156,649.583,141.2229,0
Uttar Pradesh,Meerut,PMGSY-III,2019-Present,23,0,23,0,0,0,203.857,111.6808,195.207,90.2045,0
Uttar Pradesh,Moradabad,PMGSY-II,2013-2018,12,0,12,0,0,0,90.989,44.6565,87.899,40.6243,0
Uttar Pradesh,Muzaffarnagar,PMGSY-I,2000-2013,204,0,204,0,0,0,560.02,108.6372,559.77,104.608,0
Uttar Pradesh,Pilibhit,PMGSY-III,2019-Present,31,1,31,1,0,0,251.34,158.50596,248.035,132.7438,0
Uttar Pradesh,Pratapgarh,PMGSY-I,2000-2013,382,0,382,0,0,0,1114.335,230.3692,1082.53,207.0207,0
Uttar Pradesh,Rae Bareli,PMGSY-III,2019-Present,67,0,59,0,8,0,493.58,414.98825,441.119,309.4849,48.275
Uttar Pradesh,Saharanpur,PMGSY-I,2000-2013,289,0,289,0,0,0,882.485,186.1605,868.598,168.2767,0
Uttar Pradesh,Saharanpur,PMGSY-III,2019-Present,38,0,37,0,1,0,280.52,167.3443,271.765,134.8604,0.026
Uttar Pradesh,Sambhal,PMGSY-I,2000-2013,256,0,256,0,0,0,626.939,130.0269,608.947,121.8389,0
Uttar Pradesh,Shahjahanpur,PMGSY-III,2019-Present,52,0,49,0,3,0,373.55,272.22879,365.745,231.7097,4.326
Uttar Pradesh,Shamli,PMGSY-II,2013-2018,10,0,10,0,0,0,105.3,50.71296,105.3,46.6157,0
Uttar Pradesh,Siddharathnagar,PMGSY-I,2000-2013,270,0,270,0,0,0,814.687,265.9776,796.061,244.5343,0
Uttar Pradesh,Sultanpur,PMGSY-III,2019-Present,40,0,36,0,4,0,261.285,209.16106,246.378,168.2393,14.295
Uttar Pradesh,Unnao,PMGSY-II,2013-2018,14,0,14,0,0,0,110.985,70.91764,110.646,68.1818,0
Uttarakhand,Almora,PMGSY-II,2013-2018,10,0,10,0,0,0,108.175,62.7289,108.175,56.0987,0
Uttarakhand,Chamoli,PMGSY-I,2000-2013,237,104,224,87,13,17,2370.62,1374.80472,2296.423,1379.5257,33.735
Uttarakhand,Chamoli,PMGSY-II,2013-2018,9,3,9,3,0,0,92.015,73.2904,91.495,79.5079,0
Uttarakhand,Champawat,PMGSY-II,2013-2018,4,0,4,0,0,0,42,26.0547,42,25.7562,0
Uttarakhand,Dehradun,PMGSY-III,2019-Present,12,0,5,0,7,0,114.045,93.08242,51.825,42.3961,62.22
Uttarakhand,Pauri,PMGSY-III,2019-Present,35,0,22,0,13,0,423.942,303.7155,403.332,230.6423,20.377
Uttarakhand,Pithoragarh,PMGSY-II,2013-2018,13,0,13,0,0,0,89.6,59.7582,87.55,56.7585,0
Uttarakhand,Pithoragarh,PMGSY-III,2019-Present,26,5,1,0,25,5,375.502,343.16935,118.8,129.484,256.702
Uttarakhand,Rudraprayag,PMGSY-I,2000-2013,135,26,129,21,6,5,1292.89,675.7518,1262.473,682.2498,11.65
Uttarakhand,Rudraprayag,PMGSY-II,2013-2018,7,2,7,2,0,0,44.915,36.24517,43.2,37.4478,0
Uttarakhand,Udham Singh Nagar,PMGSY-II,2013-2018,3,0,3,0,0,0,18,5.6079,17.605,5.2931,0
Uttarakhand,Uttarkashi,PMGSY-II,2013-2018,6,0,6,0,0,0,59.961,33.6605,59.961,35.8755,0
Uttarakhand,Uttarkashi,PMGSY-III,2019-Present,25,0,1,0,24,0,238.812,206.9279,71.31,54.055,167.502
West Bengal,Bankura,PMGSY-III,2019-Present,34,0,5,0,29,0,292.591,226.99115,56.878,36.8314,234.753
West Bengal,Cooch-Behar,PMGSY-II,2013-2018,6,4,6,4,0,0,76.575,84.53225,76.113,76.2672,0
West Bengal,Cooch-Behar,PMGSY-III,2019-Present,24,0,1,0,23,0,194.774,162.63756,4.87,26.9416,189.9
West Bengal,Hooghly,PMGSY-I,2000-2013,342,0,342,0,0,0,1464.638,670.87733,1451.536,620.4719,0
West Bengal,Howrah,PMGSY-III,2019-Present,23,0,12,0,11,0,129.7,93.41899,79.953,55.3859,49.741
West Bengal,Kalimpong,PMGSY-I,2000-2013,80,2,80,2,0,0,432.841,290.8624,427.362,285.1607,0
West Bengal,Maldah,PMGSY-II,2013-2018,20,0,20,0,0,0,174.297,141.17538,172.705,117.3991,0
West Bengal,Nadia,PMGSY-III,2019-Present,24,1,9,0,15,1,138.848,106.38457,65.027,41.0743,74.008
West Bengal,Paschim Medinipur,PMGSY-II,2013-2018,19,4,19,4,0,0,169.63,165.81221,169.39,133.7978,0
West Bengal,Purba Medinipur,PMGSY-II,2013-2018,11,2,11,2,0,0,101.85,82.46289,101.408,77.8186,0
West Bengal,Uttardinajpur,PMGSY-I,2000-2013,351,4,351,4,0,0,1463.526,662.19252,1437.278,580.5011,0
Andaman And Nicobar,Nicobar,PMGSY-III,2019-Present,10,0,0,0,10,0,102.585,116.3138,0,0,102.585
Andaman And Nicobar,South Andaman,PMGSY-II,2013-2018,11,0,11,0,0,0,20.082,10.4095,17.747,8.6343,0
Andaman And Nicobar,South Andaman,PMGSY-III,2019-Present,8,0,0,0,8,0,27.896,34.2347,0,0,27.896
Andhra Pradesh,Alluri Sitharama Raju,RCPLWEA,2016-Present,124,34,101,26,23,8,1084.885,827.64173,794.164,540.6444,268.01
Andhra Pradesh,Anakapalli,PMGSY-II,2013-2018,5,0,5,0,0,0,34.62,21.309,31.291,16.1277,0
Andhra Pradesh,Anantapur,PMGSY-II,2013-2018,8,0,8,0,0,0,75.02,29.9953,74.961,27.1823,0
Andhra Pradesh,Dr BR Ambedkar Konaseema,PMGSY-III,2019-Present,11,1,11,1,0,0,76.433,48.80619,74.461,44.6505,0
Andhra Pradesh,East Godavari,PMGSY-II,2013-2018,6,0,6,0,0,0,42.9,18.4807,41.22,15.4279,0
Andhra Pradesh,Guntur,PMGSY-II,2013-2018,4,0,4,0,0,0,35.1,17.3794,34.839,13.8579,0
Andhra Pradesh,Kakinada,PMGSY-III,2019-Present,12,1,10,0,2,1,87.62,47.5397,84.102,33.8844,1.3
Andhra Pradesh,Kakinada,PM-JANMAN,2023-Present,3,0,0,0,3,0,19.15,16.103,0,0,19.15
Andhra Pradesh,Krishna,PMGSY-I,2000-2013,159,5,159,5,0,0,368.9,89.007,358.31,87.323,0
Andhra Pradesh,Kurnool,PMGSY-II,2013-2018,9,1,9,1,0,0,65.66,28.5085,65.021,26.8076,0
Andhra Pradesh,Nandyal,PMGSY-I,2000-2013,115,12,115,12,0,0,385.365,92.5398,365.51,48.7807,0
Andhra Pradesh,Nellore,PMGSY-II,2013-2018,8,0,8,0,0,0,70.21,36.4185,65.296,29.3427,0
Andhra Pradesh,Nellore,PMGSY-III,2019-Present,20,2,18,0,2,2,194.37,122.57004,174.952,98.4284,11.898
Andhra Pradesh,Ntr,PMGSY-III,2019-Present,6,2,4,0,2,2,47.028,28.8447,28.135,15.6739,17.338
Andhra Pradesh,Palnadu,PMGSY-II,2013-2018,7,1,7,1,0,0,80.46,44.8013,79.551,42.3108,0
Andhra Pradesh,Parvathipuram Manyam,PMGSY-II,2013-2018,3,0,3,0,0,0,24.49,14.53,23.08,12.0531,0
Andhra Pradesh,Parvathipuram Manyam,RCPLWEA,2016-Present,55,10,43,8,12,2,385.484,353.27394,307.091,289.7874,71.684
Andhra Pradesh,Parvathipuram Manyam,PM-JANMAN,2023-Present,19,0,0,0,19,0,38.65,39.56477,0,0,38.65
Andhra Pradesh,Prakasam,PMGSY-II,2013-2018,9,0,9,0,0,0,61.404,30.9533,59.156,27.2731,0
Andhra Pradesh,Prakasam,PMGSY-III,2019-Present,17,5,15,0,2,5,158.464,143.225,138.139,79.8574,17.05
Andhra Pradesh,Sri Sathya Sai,PMGSY-II,2013-2018,6,0,6,0,0,0,50.68,26.0758,49.658,21.8303,0
Andhra Pradesh,Vizianagaram,PM-JANMAN,2023-Present,3,0,0,0,3,0,15.6,16.3,0,0,15.6
Andhra Pradesh,West Godavari,PMGSY-I,2000-2013,157,5,157,5,0,0,311.412,75.9481,303.043,55.5522,0
Andhra Pradesh,Y S R Kadapa,PMGSY-II,2013-2018,10,0,10,0,0,0,63.67,28.4113,62.345,28.3906,0
Arunachal Pradesh,Dibang Valley,PMGSY-I,2000-2013,16,0,13,0,3,0,201.68,203.992,197.68,178.7607,4
Arunachal Pradesh,East Kameng,PMGSY-I,2000-2013,113,16,103,15,10,1,1911.37,1286.0398,1793.88,1312.236,104.65
Arunachal Pradesh,Kurung Kumey,PMGSY-III,2019-Present,6,2,3,0,3,2,50.5,46.1188,24.5,15.3243,26
Arunachal Pradesh,Pakke kessang,PMGSY-II,2013-2018,1,0,1,0,0,0,15.6,8.6733,15.6,7.7458,0
Arunachal Pradesh,Shi Yomi,PMGSY-II,2013-2018,1,0,1,0,0,0,7.18,3.7164,5.295,3.0357,0
Arunachal Pradesh,Shi Yomi,PMGSY-III,2019-Present,1,1,0,0,1,1,7.87,16.3362,0,0,7.87
Arunachal Pradesh,Upper Subansiri,PMGSY-I,2000-2013,107,19,96,12,11,7,1456.32,1055.66722,1379.96,1029.567,77.1
Arunachal Pradesh,West Kameng,PMGSY-I,2000-2013,84,11,82,10,2,1,775.769,451.7983,768.405,467.6346,3.84
Assam,Baksa,PMGSY-I,2000-2013,300,57,297,55,3,2,1007.206,667.20473,1002.424,698.9472,2.77
Assam,Bongaigaon,PMGSY-I,2000-2013,214,39,214,39,0,0,624.338,417.70806,624.08,433.6468,0
Assam,Cachar,PMGSY-I,2000-2013,277,43,277,43,0,0,1056.937,647.85356,1031.497,678.6538,0
Assam,Cachar,PMGSY-II,2013-2018,13,5,13,5,0,0,127.789,96.8147,127.789,96.8282,0
Assam,Chirang,PMGSY-I,2000-2013,140,45,140,45,0,0,531.319,456.52395,530.547,475.7645,0
Assam,Darrang,PMGSY-I,2000-2013,237,45,237,45,0,0,826.613,541.39573,824.636,602.1804,0
Assam,Dhemaji,PMGSY-I,2000-2013,280,126,280,126,0,0,1141.823,1150.57087,1142.147,1169.015,0
Assam,Dibrugarh,PMGSY-II,2013-2018,16,4,16,4,0,0,179.97,139.6455,179.92,143.5531,0
Assam,Goalpara,PMGSY-I,2000-2013,375,69,375,69,0,0,1064.279,694.17209,1060.507,768.416,0
Assam,Golaghat,PMGSY-I,2000-2013,304,5,304,5,0,0,1204.084,611.48229,1203.511,624.9292,0
Assam,Jorhat,PMGSY-I,2000-2013,367,24,367,24,0,0,1039.818,599.56406,1035.553,664.3945,0
Assam,Lakhimpur,PMGSY-I,2000-2013,295,112,295,112,0,0,1122.903,1000.43112,1116.529,1038.759,0
Assam,Nowgaon,PMGSY-I,2000-2013,862,46,862,46,0,0,2200.263,1158.28563,2191.611,1238.8295,0
Assam,Sibsagar,PMGSY-II,2013-2018,19,3,19,3,0,0,109.877,78.8188,109.327,77.8005,0
Assam,Sonitpur,PMGSY-II,2013-2018,20,4,20,4,0,0,180.67,130.875,180.62,136.9289,0
Assam,Tinsukia,PMGSY-I,2000-2013,354,28,354,28,0,0,1319.943,757.55064,1310.572,822.9212,0
Assam,Udalguri,PMGSY-I,2000-2013,172,78,172,78,0,0,785.389,599.83257,785.255,635.6597,0
Bihar,Arwal,PMGSY-I,2000-2013,160,4,158,4,2,0,360.407,163.48724,335.572,148.3821,0.826
Bihar,Arwal,PMGSY-III,2019-Present,9,6,7,1,2,5,74.283,63.28805,58.593,38.6346,13.941
Bihar,Aurangabad,PMGSY-I,2000-2013,880,18,875,18,5,0,2540.884,1313.73406,2504.428,1197.4296,9.619
Bihar,Bhojpur,PMGSY-I,2000-2013,386,4,381,4,5,0,1106.624,566.29681,1060.341,500.85,17.796
Bihar,Bhojpur,PMGSY-II,2013-2018,2,0,2,0,0,0,26.025,10.6814,25.625,11.3167,0
Bihar,Buxar,PMGSY-III,2019-Present,4,0,3,0,1,0,48.477,37.10216,27.908,15.2034,19.525
Bihar,Chapra(Saran),PMGSY-II,2013-2018,18,0,18,0,0,0,63.492,25.39787,63.042,28.1169,0
Bihar,Darbhanga,PMGSY-II,2013-2018,11,0,11,0,0,0,42.66,17.15696,42.66,18.0141,0
Bihar,Darbhanga,PMGSY-III,2019-Present,57,93,43,26,14,67,410.522,759.23245,338.996,479.586,62.119
Bihar,Gaya,PMGSY-III,2019-Present,23,3,22,3,1,0,174.673,104.35383,153.781,77.0177,5.222
Bihar,Jahanabad,PMGSY-III,2019-Present,5,0,3,0,2,0,46.094,26.11107,41.41,27.4991,4.684
Bihar,Jamui,PMGSY-III,2019-Present,3,0,3,0,0,0,18.262,8.97371,18.261,6.7129,0
Bihar,Katihar,PMGSY-II,2013-2018,8,2,8,2,0,0,77.1,38.80552,75.81,39.6028,0
Bihar,Lakhisarai,PMGSY-II,2013-2018,5,0,5,0,0,0,47.055,20.2212,47.055,20.3086,0
Bihar,Madhepura,PMGSY-I,2000-2013,238,18,236,18,2,0,784.482,503.51779,756.131,435.3384,0
Bihar,Madhubani,PMGSY-I,2000-2013,724,33,719,32,5,1,2100.652,1425.08428,1862.887,1059.4955,5.901
Bihar,Muzaffarpur,PMGSY-I,2000-2013,761,12,759,12,2,0,2398.417,1350.30879,2324.26,1211.7839,6.824
Bihar,Nalanda,PMGSY-II,2013-2018,23,0,23,0,0,0,138.2,72.56586,137.158,73.689,0
Bihar,Rohtas,PMGSY-I,2000-2013,686,3,683,3,3,0,2130.185,938.85127,2020.033,891.0633,19.656
Bihar,Saharsa,PMGSY-I,2000-2013,256,43,253,39,3,4,714.202,558.70765,653.708,515.6912,14.517
Bihar,Samastipur,PMGSY-I,2000-2013,671,8,665,7,6,1,1881.119,959.91127,1839.759,604.4241,12.365
Bihar,Sheohar,PMGSY-III,2019-Present,8,8,7,7,1,1,57.295,57.55317,52.342,51.7552,1.275
Bihar,West Champaran,PMGSY-I,2000-2013,733,26,733,26,0,0,2477.529,1478.70356,2407.95,1382.3337,0
Chhattisgarh,Balodabazar,PMGSY-I,2000-2013,252,3,252,3,0,0,1116.63,332.6491,1084.9,305.6728,0
Chhattisgarh,Balodabazar,PMGSY-II,2013-2018,7,0,7,0,0,0,90.31,57.6072,88.072,44.2343,0
Chhattisgarh,Balrampur,PMGSY-I,2000-2013,310,36,309,36,1,0,1695.565,540.0147,1541.744,608.2969,10.08
Chhattisgarh,Bilaspur,PMGSY-III,2019-Present,29,6,29,4,0,2,251.22,207.37962,251.22,182.9964,0
Chhattisgarh,Dantewada,PMGSY-II,2013-2018,1,0,1,0,0,0,21.2,14.4226,21.2,15.3682,0
Chhattisgarh,Dhamtari,PMGSY-I,2000-2013,229,33,229,33,0,0,835.261,263.73067,789.978,255.5168,0
Chhattisgarh,Durg,PMGSY-III,2019-Present,15,6,15,6,0,0,99.75,77.8226,95.785,59.2283,0
Chhattisgarh,Gaurella Pendra Marwahi,PMGSY-III,2019-Present,11,0,11,0,0,0,102.4,44.82817,102.4,42.662,0
Chhattisgarh,Jangir-Champa,PMGSY-I,2000-2013,369,0,369,0,0,0,1345.73,348.9464,1294.997,315.516,0
Chhattisgarh,Jangir-Champa,PMGSY-II,2013-2018,14,0,14,0,0,0,128.018,87.62729,127.665,66.1556,0
Chhattisgarh,Jashpur,PMGSY-II,2013-2018,8,0,8,0,0,0,100.56,68.7109,100.26,62.5739,0
Chhattisgarh,Kanker,RCPLWEA,2016-Present,124,36,110,22,14,14,690.725,512.91634,601.119,349.1273,83.115
Chhattisgarh,Kanker,PM-JANMAN,2023-Present,4,0,0,0,4,0,4.83,2.91891,0,0,4.83
Chhattisgarh,Kawardha,PMGSY-II,2013-2018,8,0,8,0,0,0,116.1,67.3321,113.87,58.633,0
Chhattisgarh,Kawardha,PMGSY-III,2019-Present,27,0,27,0,0,0,282.102,171.06871,279.842,138.8372,0
Chhattisgarh,Kondagaon,PMGSY-II,2013-2018,2,0,2,0,0,0,42.48,18.5461,42.48,23.4224,0
Chhattisgarh,Kondagaon,RCPLWEA,2016-Present,72,11,69,4,3,7,549.97,392.95706,519.025,275.3475,25.9
Chhattisgarh,Korba,PMGSY-II,2013-2018,9,0,9,0,0,0,113.93,79.16499,113.43,68.9137,0
Chhattisgarh,Koria,PMGSY-II,2013-2018,9,0,9,0,0,0,94.626,61.5114,94.626,55.8818,0
Chhattisgarh,Mahasamund,PMGSY-I,2000-2013,292,16,292,16,0,0,1151.28,348.5009,1102.227,324.2986,0
Chhattisgarh,Mahasamund,PMGSY-II,2013-2018,6,0,6,0,0,0,90.57,54.0913,87.657,50.9777,0
Chhattisgarh,Mungeli,PM-JANMAN,2023-Present,4,0,1,0,3,0,11.25,7.33941,3.9,0,7.35
Chhattisgarh,Narayanpur,PMGSY-I,2000-2013,94,1,93,1,1,0,344.835,191.55853,337.585,191.3463,6.9
Chhattisgarh,Narayanpur,RCPLWEA,2016-Present,10,8,3,1,7,7,123.4,117.1387,20.6,30.7186,102.7
Chhattisgarh,Narayanpur,PM-JANMAN,2023-Present,22,0,0,0,22,0,144.036,117.80412,13.52,0,130.516
Chhattisgarh,Raigarh,PMGSY-I,2000-2013,483,22,483,22,0,0,1958.525,644.18408,1897.231,596.5049,0
Chhattisgarh,Rajnandgaon,RCPLWEA,2016-Present,54,22,50,10,4,12,415.825,308.05882,384.674,233.4924,21.6
Chhattisgarh,Rajnandgaon,PM-JANMAN,2023-Present,13,0,0,0,13,0,33.425,22.74885,1.5,0,31.925
Chhattisgarh,Surajpur,PMGSY-II,2013-2018,4,0,4,0,0,0,64.15,40.1638,63.862,27.7811,0
Goa,North Goa,PMGSY-I,2000-2013,39,0,39,0,0,0,69.87,4.6652,69.35,0,0
Goa,South Goa,PMGSY-I,2000-2013,31,0,31,0,0,0,85.98,6.8733,85.98,0,0
Gujarat,Ahmedabad,PMGSY-III,2019-Present,4,3,4,0,0,3,39.145,54.86285,37.846,18.3304,0
Gujarat,Banaskantha,PMGSY-II,2013-2018,4,0,4,0,0,0,63.64,32.2719,60.86,27.6393,0
Gujarat,Bhavnagar,PMGSY-I,2000-2013,59,0,59,0,0,0,147.345,24.7903,144.845,26.2212,0
Gujarat,Bhavnagar,PMGSY-III,2019-Present,11,6,9,2,2,4,99.063,77.9801,81.756,47.0736,17.8
Gujarat,Botad,PMGSY-I,2000-2013,26,0,26,0,0,0,79.435,12.7498,79.44,15.3514,0
Gujarat,Botad,PMGSY-III,2019-Present,3,0,3,0,0,0,20.364,9.87661,19.38,8.7543,0
Gujarat,Gandhinagar,PMGSY-II,2013-2018,3,0,3,0,0,0,25.9,15.2805,25.725,7.7274,0
Gujarat,Gandhinagar,PMGSY-III,2019-Present,7,1,7,0,0,1,69.38,43.20693,67.608,31.6639,0
Gujarat,Jamnagar,PMGSY-I,2000-2013,72,0,72,0,0,0,243.655,33.8307,239.925,32.6411,0
Gujarat,Junagadh,PMGSY-I,2000-2013,25,0,25,0,0,0,63.97,8.5666,63.77,9.2885,0
Gujarat,Kutch,PMGSY-I,2000-2013,129,0,129,0,0,0,757.26,213.4558,755.43,222.4805,0
Gujarat,Mahisagar,PMGSY-III,2019-Present,11,1,11,1,0,0,96.96,60.61125,96.16,61.5828,0
